second	V
400	4.094384	
401	4.087855	
402	4.100722	
403	4.091825	
404	4.087434	
405	4.099081	
406	4.094613	
407	4.088961	
408	4.094880	
409	4.095949	
410	4.096102	
411	4.091825	
412	4.085067	
413	4.091864	
414	4.087587	
415	4.087320	
416	4.088198	
417	4.088007	
418	4.085563	
419	4.091062	
420	4.088809	
421	4.092016	
422	4.083081	
423	4.087167	
424	4.082279	
425	4.092933	
426	4.087778	
427	4.080332	
428	4.085296	
429	4.090642	
430	4.081439	
431	4.091482	
432	4.088885	
433	4.088351	
434	4.083960	
435	4.086899	
436	4.085526	
437	4.085258	
438	4.086174	
439	4.089802	
440	4.085907	
441	4.088962	
442	4.089191	
443	4.087549	
444	4.088007	
445	4.086403	
446	4.084150	
447	4.086747	
448	4.092742	
449	4.087931	
450	4.082547	
451	4.092093	
452	4.099042	
453	4.102517	
454	4.102479	
455	4.102097	
456	4.100799	
457	4.101486	
458	4.102250	
459	4.102708	
460	4.103128	
461	4.104579	
462	4.102975	
463	4.097018	
464	4.090184	
465	4.091253	
466	4.111681	
467	4.115958	
468	4.115881	
469	4.116187	
470	4.109085	
471	4.108626	
472	4.110078	
473	4.107749	
474	4.109352	
475	4.107787	
476	4.111796	
477	4.107748	
478	4.105343	
479	4.103090	
480	4.104273	
481	4.104350	
482	4.102593	
483	4.103701	
484	4.105228	
485	4.102097	
486	4.104808	
487	4.106488	
488	4.105267	
489	4.103090	
490	4.103548	
491	4.101104	
492	4.100264	
493	4.105114	
494	4.104999	
495	4.107175	
496	4.104350	
497	4.105152	
498	4.105305	
499	4.103472	
500	4.103930	
501	4.105724	
502	4.104197	
503	4.106908	
504	4.100608	
505	4.095912	
506	4.099309	
507	4.105419	
508	4.103930	
509	4.104121	
510	4.102785	
511	4.106908	
512	4.101639	
513	4.105342	
514	4.103319	
515	4.103701	
516	4.106221	
517	4.102861	
518	4.099310	
519	4.103052	
520	4.100799	
521	4.101486	
522	4.100875	
523	4.100493	
524	4.091062	
525	4.098011	
526	4.096217	
527	4.102059	
528	4.098432	
529	4.099042	
530	4.097744	
531	4.097553	
532	4.094651	
533	4.098088	
534	4.098470	
535	4.100073	
536	4.095644	
537	4.092933	
538	4.097324	
539	4.094079	
540	4.095797	
541	4.101066	
542	4.095223	
543	4.096713	
544	4.092322	
545	4.091597	
546	4.091749	
547	4.092741	
548	4.092054	
549	4.088847	
550	4.095109	
551	4.092666	
552	4.093009	
553	4.094766	
554	4.100035	
555	4.092017	
556	4.088312	
557	4.094460	
558	4.089839	
559	4.091482	
560	4.096293	
561	4.093353	
562	4.097286	
563	4.095415	
564	4.094995	
565	4.095301	
566	4.096217	
567	4.093200	
568	4.098622	
569	4.092513	
570	4.099386	
571	4.093468	
572	4.094728	
573	4.094842	
574	4.092971	
575	4.092207	
576	4.093582	
577	4.093735	
578	4.092704	
579	4.095071	
580	4.093735	
581	4.089611	
582	4.094613	
583	4.094766	
584	4.092360	
585	4.092054	
586	4.089420	
587	4.085105	
588	4.092207	
589	4.091864	
590	4.088580	
591	4.095873	
592	4.089802	
593	4.091520	
594	4.095950	
595	4.090833	
596	4.088847	
597	4.091979	
598	4.093162	
599	4.090947	
600	4.091711	
601	4.089611	
602	4.087244	
603	4.086747	
604	4.089229	
605	4.085792	
606	4.089916	
607	4.087358	
608	4.084952	
609	4.089267	
610	4.085296	
611	4.089229	
612	4.087052	
613	4.086289	
614	4.089534	
615	4.096255	
616	4.092055	
617	4.098164	
618	4.097553	
619	4.096637	
620	4.099424	
621	4.100952	
622	4.096751	
623	4.098699	
624	4.099042	
625	4.098927	
626	4.098317	
627	4.098240	
628	4.096369	
629	4.095301	
630	4.092284	
631	4.095033	
632	4.095377	
633	4.097209	
634	4.086174	
635	4.091291	
636	4.093085	
637	4.095415	
638	4.090336	
639	4.094613	
640	4.091597	
641	4.087167	
642	4.089267	
643	4.091673	
644	4.088733	
645	4.092474	
646	4.084838	
647	4.088084	
648	4.082700	
649	4.091062	
650	4.083883	
651	4.096522	
652	4.090985	
653	4.094116	
654	4.088656	
655	4.091215	
656	4.087091	
657	4.087129	
658	4.084876	
659	4.085449	
660	4.086327	
661	4.085639	
662	4.089305	
663	4.087244	
664	4.093391	
665	4.088045	
666	4.086403	
667	4.093620	
668	4.082967	
669	4.086250	
670	4.086174	
671	4.086480	
672	4.088656	
673	4.090374	
674	4.089076	
675	4.090909	
676	4.086403	
677	4.090298	
678	4.090069	
679	4.087396	
680	4.084036	
681	4.083883	
682	4.083005	
683	4.088694	
684	4.089000	
685	4.091176	
686	4.085029	
687	4.088733	
688	4.085754	
689	4.091176	
690	4.088580	
691	4.090413	
692	4.087778	
693	4.091291	
694	4.089000	
695	4.089802	
696	4.084303	
697	4.081439	
698	4.087320	
699	4.081211	
700	4.085525	
701	4.086518	
702	4.082891	
703	4.083883	
704	4.088275	
705	4.086747	
706	4.081898	
707	4.087090	
708	4.088542	
709	4.085411	
710	4.083693	
711	4.083234	
712	4.083578	
713	4.081058	
714	4.085869	
715	4.078805	
716	4.082432	
717	4.082012	
718	4.083272	
719	4.080867	
720	4.081096	
721	4.087740	
722	4.089458	
723	4.088160	
724	4.092284	
725	4.094231	
726	4.091367	
727	4.094651	
728	4.094575	
729	4.091291	
730	4.090985	
731	4.089725	
732	4.090413	
733	4.091215	
734	4.090031	
735	4.091940	
736	4.089382	
737	4.089344	
738	4.088695	
739	4.088045	
740	4.087587	
741	4.087396	
742	4.088313	
743	4.088313	
744	4.091405	
745	4.085831	
746	4.087511	
747	4.089572	
748	4.088351	
749	4.091290	
750	4.084036	
751	4.084227	
752	4.083539	
753	4.087320	
754	4.082661	
755	4.080294	
756	4.088236	
757	4.083730	
758	4.081974	
759	4.085334	
760	4.083158	
761	4.081745	
762	4.078537	
763	4.076819	
764	4.073841	
765	4.083960	
766	4.077774	
767	4.072657	
768	4.086823	
769	4.077735	
770	4.075292	
771	4.081210	
772	4.082127	
773	4.078232	
774	4.077353	
775	4.070443	
776	4.075827	
777	4.072962	
778	4.071206	
779	4.073345	
780	4.074146	
781	4.068419	
782	4.076743	
783	4.078194	
784	4.079721	
785	4.068953	
786	4.074261	
787	4.066700	
788	4.079110	
789	4.073535	
790	4.065249	
791	4.072123	
792	4.070672	
793	4.068075	
794	4.077353	
795	4.074910	
796	4.074299	
797	4.071130	
798	4.073611	
799	4.070977	
800	4.075025	
801	4.073192	
802	4.080523	
803	4.073917	
804	4.077698	
805	4.077888	
806	4.075521	
807	4.072848	
808	4.074375	
809	4.072199	
810	4.070060	
811	4.078194	
812	4.074566	
813	4.069831	
814	4.078614	
815	4.084342	
816	4.087511	
817	4.087091	
818	4.086288	
819	4.085945	
820	4.087358	
821	4.089267	
822	4.084762	
823	4.088274	
824	4.088046	
825	4.087053	
826	4.080829	
827	4.075025	
828	4.076896	
829	4.100340	
830	4.102365	
831	4.102479	
832	4.102670	
833	4.103051	
834	4.095567	
835	4.093697	
836	4.094956	
837	4.095797	
838	4.097095	
839	4.093506	
840	4.093849	
841	4.095605	
842	4.092398	
843	4.088847	
844	4.089802	
845	4.092246	
846	4.091176	
847	4.089420	
848	4.088389	
849	4.090680	
850	4.090947	
851	4.092475	
852	4.090146	
853	4.090603	
854	4.089458	
855	4.086823	
856	4.085372	
857	4.091940	
858	4.090948	
859	4.091138	
860	4.091329	
861	4.093277	
862	4.090489	
863	4.089572	
864	4.090641	
865	4.092704	
866	4.091482	
867	4.091825	
868	4.087472	
869	4.082470	
870	4.083234	
871	4.087702	
872	4.089993	
873	4.090756	
874	4.087969	
875	4.090107	
876	4.087893	
877	4.090795	
878	4.088236	
879	4.088083	
880	4.090641	
881	4.091405	
882	4.086480	
883	4.087358	
884	4.086136	
885	4.086862	
886	4.085526	
887	4.087778	
888	4.080714	
889	4.086404	
890	4.084952	
891	4.083578	
892	4.086671	
893	4.082050	
894	4.081401	
895	4.081668	
896	4.080027	
897	4.080943	
898	4.084647	
899	4.081286	
900	4.082165	
901	4.081172	
902	4.080370	
903	4.080217	
904	4.081592	
905	4.086824	
906	4.080676	
907	4.079950	
908	4.081134	
909	4.079492	
910	4.080676	
911	4.081249	
912	4.080256	
913	4.076208	
914	4.079759	
915	4.078575	
916	4.082012	
917	4.080027	
918	4.086251	
919	4.075712	
920	4.079225	
921	4.079415	
922	4.073459	
923	4.076934	
924	4.084609	
925	4.078156	
926	4.080943	
927	4.082738	
928	4.081401	
929	4.077621	
930	4.084036	
931	4.078270	
932	4.082012	
933	4.081592	
934	4.080905	
935	4.079186	
936	4.078843	
937	4.077850	
938	4.079263	
939	4.080294	
940	4.077697	
941	4.078690	
942	4.078767	
943	4.079186	
944	4.075559	
945	4.078002	
946	4.077621	
947	4.078652	
948	4.081058	
949	4.079186	
950	4.072428	
951	4.076437	
952	4.076132	
953	4.078614	
954	4.078576	
955	4.079760	
956	4.076972	
957	4.077660	
958	4.080179	
959	4.079721	
960	4.077965	
961	4.079110	
962	4.078041	
963	4.076284	
964	4.076132	
965	4.075979	
966	4.074451	
967	4.075597	
968	4.077850	
969	4.071473	
970	4.078537	
971	4.079148	
972	4.074337	
973	4.077125	
974	4.075674	
975	4.077316	
976	4.076895	
977	4.075215	
978	4.075712	
979	4.084609	
980	4.079530	
981	4.082050	
982	4.083005	
983	4.086442	
984	4.085831	
985	4.084723	
986	4.084800	
987	4.087472	
988	4.084265	
989	4.084342	
990	4.085563	
991	4.088084	
992	4.085105	
993	4.082623	
994	4.081249	
995	4.082929	
996	4.082623	
997	4.082318	
998	4.072543	
999	4.084800	
1000	4.077048	
1001	4.079607	
1002	4.079568	
1003	4.079988	
1004	4.077430	
1005	4.077850	
1006	4.076437	
1007	4.079874	
1008	4.077163	
1009	4.076895	
1010	4.071435	
1011	4.076743	
1012	4.071244	
1013	4.077583	
1014	4.074069	
1015	4.083081	
1016	4.076514	
1017	4.078614	
1018	4.076170	
1019	4.078385	
1020	4.073230	
1021	4.074910	
1022	4.072428	
1023	4.073764	
1024	4.075368	
1025	4.076399	
1026	4.077621	
1027	4.071054	
1028	4.081860	
1029	4.072809	
1030	4.076972	
1031	4.079950	
1032	4.073306	
1033	4.073039	
1034	4.077277	
1035	4.072466	
1036	4.074108	
1037	4.079454	
1038	4.080256	
1039	4.075062	
1040	4.074757	
1041	4.077277	
1042	4.077621	
1043	4.079645	
1044	4.077392	
1045	4.073383	
1046	4.074452	
1047	4.077965	
1048	4.073917	
1049	4.077430	
1050	4.075941	
1051	4.076361	
1052	4.075177	
1053	4.076208	
1054	4.079149	
1055	4.078270	
1056	4.074986	
1057	4.076819	
1058	4.078423	
1059	4.075826	
1060	4.069641	
1061	4.066815	
1062	4.069564	
1063	4.069755	
1064	4.070366	
1065	4.075368	
1066	4.071092	
1067	4.073993	
1068	4.074375	
1069	4.072580	
1070	4.071244	
1071	4.073878	
1072	4.073077	
1073	4.068037	
1074	4.072084	
1075	4.070175	
1076	4.070404	
1077	4.073230	
1078	4.071893	
1079	4.064447	
1080	4.073955	
1081	4.072581	
1082	4.069908	
1083	4.072390	
1084	4.068686	
1085	4.071931	
1086	4.079607	
1087	4.076513	
1088	4.077125	
1089	4.078843	
1090	4.080599	
1091	4.080637	
1092	4.080294	
1093	4.080867	
1094	4.080981	
1095	4.077888	
1096	4.076017	
1097	4.077736	
1098	4.080027	
1099	4.076667	
1100	4.077697	
1101	4.078881	
1102	4.076170	
1103	4.074605	
1104	4.075215	
1105	4.073001	
1106	4.078079	
1107	4.074337	
1108	4.077086	
1109	4.074719	
1110	4.077239	
1111	4.076819	
1112	4.073535	
1113	4.078614	
1114	4.074070	
1115	4.071588	
1116	4.070710	
1117	4.074032	
1118	4.070824	
1119	4.068075	
1120	4.074757	
1121	4.070633	
1122	4.071015	
1123	4.075483	
1124	4.070290	
1125	4.071168	
1126	4.067770	
1127	4.068113	
1128	4.061889	
1129	4.074032	
1130	4.068609	
1131	4.059369	
1132	4.070290	
1133	4.069831	
1134	4.061125	
1135	4.068992	
1136	4.068839	
1137	4.067808	
1138	4.064600	
1139	4.061775	
1140	4.063492	
1141	4.062805	
1142	4.061278	
1143	4.060324	
1144	4.061163	
1145	4.058452	
1146	4.066051	
1147	4.063263	
1148	4.065746	
1149	4.061507	
1150	4.061355	
1151	4.058033	
1152	4.064447	
1153	4.063722	
1154	4.058796	
1155	4.063340	
1156	4.065249	
1157	4.057689	
1158	4.066776	
1159	4.062806	
1160	4.064409	
1161	4.057001	
1162	4.061812	
1163	4.057880	
1164	4.060438	
1165	4.061660	
1166	4.063416	
1167	4.061774	
1168	4.062806	
1169	4.063875	
1170	4.063073	
1171	4.063302	
1172	4.059712	
1173	4.058109	
1174	4.065516	
1175	4.064791	
1176	4.061927	
1177	4.057192	
1178	4.065593	
1179	4.073039	
1180	4.074299	
1181	4.077240	
1182	4.074681	
1183	4.074375	
1184	4.073382	
1185	4.074261	
1186	4.076361	
1187	4.075444	
1188	4.075406	
1189	4.076056	
1190	4.072848	
1191	4.068342	
1192	4.068380	
1193	4.081821	
1194	4.086862	
1195	4.087052	
1196	4.087358	
1197	4.080523	
1198	4.083654	
1199	4.081096	
1200	4.079530	
1201	4.081630	
1202	4.081286	
1203	4.081210	
1204	4.081248	
1205	4.079148	
1206	4.077201	
1207	4.078003	
1208	4.077927	
1209	4.077086	
1210	4.077201	
1211	4.076743	
1212	4.076017	
1213	4.077239	
1214	4.077927	
1215	4.076934	
1216	4.076017	
1217	4.079034	
1218	4.075062	
1219	4.072123	
1220	4.078804	
1221	4.080141	
1222	4.076513	
1223	4.078308	
1224	4.077774	
1225	4.081286	
1226	4.077315	
1227	4.079530	
1228	4.079263	
1229	4.078346	
1230	4.078308	
1231	4.075139	
1232	4.070786	
1233	4.072466	
1234	4.076476	
1235	4.078003	
1236	4.077010	
1237	4.076437	
1238	4.077621	
1239	4.075368	
1240	4.079607	
1241	4.079110	
1242	4.076094	
1243	4.078003	
1244	4.077545	
1245	4.075635	
1246	4.073573	
1247	4.073153	
1248	4.075406	
1249	4.075024	
1250	4.074643	
1251	4.066853	
1252	4.072504	
1253	4.070824	
1254	4.073000	
1255	4.072084	
1256	4.072810	
1257	4.069908	
1258	4.072390	
1259	4.069411	
1260	4.072504	
1261	4.072123	
1262	4.071321	
1263	4.068075	
1264	4.071474	
1265	4.070251	
1266	4.063951	
1267	4.068954	
1268	4.075941	
1269	4.068075	
1270	4.069908	
1271	4.068571	
1272	4.067693	
1273	4.068113	
1274	4.069678	
1275	4.067082	
1276	4.066166	
1277	4.067197	
1278	4.068151	
1279	4.068037	
1280	4.066891	
1281	4.073459	
1282	4.065669	
1283	4.067655	
1284	4.070328	
1285	4.063837	
1286	4.067579	
1287	4.073535	
1288	4.068686	
1289	4.068724	
1290	4.070748	
1291	4.070060	
1292	4.070748	
1293	4.069029	
1294	4.065173	
1295	4.068800	
1296	4.067616	
1297	4.068266	
1298	4.066929	
1299	4.067158	
1300	4.068151	
1301	4.068380	
1302	4.069106	
1303	4.069067	
1304	4.068113	
1305	4.066854	
1306	4.068495	
1307	4.068572	
1308	4.068037	
1309	4.066624	
1310	4.068113	
1311	4.070519	
1312	4.067121	
1313	4.059559	
1314	4.061087	
1315	4.065288	
1316	4.065823	
1317	4.065784	
1318	4.068572	
1319	4.065211	
1320	4.066471	
1321	4.068495	
1322	4.067159	
1323	4.066089	
1324	4.069449	
1325	4.066929	
1326	4.064639	
1327	4.068686	
1328	4.064600	
1329	4.063836	
1330	4.064409	
1331	4.063760	
1332	4.061088	
1333	4.065364	
1334	4.065631	
1335	4.065021	
1336	4.063416	
1337	4.063188	
1338	4.065326	
1339	4.067884	
1340	4.061851	
1341	4.062806	
1342	4.070328	
1343	4.068839	
1344	4.070290	
1345	4.071779	
1346	4.073726	
1347	4.075177	
1348	4.073268	
1349	4.072199	
1350	4.072390	
1351	4.076094	
1352	4.072008	
1353	4.074032	
1354	4.074223	
1355	4.074528	
1356	4.069793	
1357	4.069297	
1358	4.069488	
1359	4.072046	
1360	4.069259	
1361	4.065249	
1362	4.070366	
1363	4.068572	
1364	4.069144	
1365	4.069946	
1366	4.069602	
1367	4.069984	
1368	4.066547	
1369	4.067846	
1370	4.066433	
1371	4.066013	
1372	4.065096	
1373	4.061851	
1374	4.065211	
1375	4.061660	
1376	4.064638	
1377	4.062156	
1378	4.070137	
1379	4.065516	
1380	4.064294	
1381	4.065707	
